id;name;entity_id;parent_id;has_instances;init_state_id;short_name;agregate;base_class_id;target_class_id;criteria_id;data_size;data_precision;min_value;max_value;default_value;autonomous;is_collection;modified;pad_style;pad_char;pad_length;interface;kernel;param_group;tag;validator_id;input_mask;trigger_id;storage_group;init_method_id;lob_storage_group;temp_type;has_type;key_attr;data_precision_min;properties;ods_validfrom;ods_opc;ods_sequenceid
SBE_SERV_OP__REF;"Ссылка на ""SBE. UC Строка сервисных операций""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_SERV_OP_RC;;;;;;;0;0;1,34547E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SERV_OP_ARR;"SBE. Массив ""SBE. UC Строка сервисных операций""";TYPE;;0;;1E+23;;COLLECTION;SBE_SERV_OP_RC;;;;;;;0;0;1,32024E+12;;;;NUMBER;0;;UC_CARD;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SERV_OP_RC;SBE. UC Строка сервисных операций;TYPE;;1;;1E+20;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,47998E+12;;;;Z#SBE_SERV_OP_RC#INTERFACE.CLASS#SBE_SERV_OP_RC;0;UC_CARD;UC_CARD;;;;<LIST>;;;;0;;;;1,48505E+12;U;5,3885E+15
SBE_SERV_OP_REF;"SBE. Ссылка на ""SBE. UC Строка сервисных операций""";TYPE;;1;;1E+14;REFERENCE;REFERENCE;SBE_SERV_OP_RC;;;;;;;0;0;1,33043E+12;;;;NUMBER;0;;;;;;SMALL;;;;0;;;|Weight 365636|;1,476E+12;U;3,5215E+15
SBE_SERV_OPS_ARR;"Массив ""SBE. Ссылка на ""SBE. UC Строка сервисных операций""""";TYPE;;0;;1E+23;;COLLECTION;SBE_SERV_OP_REF;;;;;;;0;0;1,33043E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SERVISE__REF;"Ссылка на ""SBE. UC Реестр сервисных операций""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_SERVISE_OP;;;;;;;0;0;1,38782E+12;;;;NUMBER;0;;;;;;;;;;0;;;;1,40763E+12;U;
SBE_SERVISE_OP;SBE. UC Реестр сервисных операций;TYPE;SBE_UC_BACK;1;CRT;1,1001E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32031E+12;;;;Z#SBE_SERVISE_OP#INTERFACE.CLASS#SBE_SERVISE_OP;0;UC_CARD;UC_CARD;;;;SMALL;;;;0;;;|Weight 67181|;1,48447E+12;U;5,3452E+15
SBE_SH_CONDS;SBE. Условия для сшивов;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,27849E+12;;;;Z#SBE_SH_CONDS#INTERFACE.CLASS#SBE_SH_CONDS;0;;;;;;SMALL;;;;0;;;|Weight 146|;1,476E+12;U;3,5215E+15
SBE_SH_CONDS_ARR;"Массив ""SBE. Условия для сшивов""";TYPE;;0;;1E+23;;COLLECTION;SBE_SH_CONDS;;;;;;;0;0;1,27685E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SH_SHIV;SBE. Шаблоны для сшивов;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,32379E+12;;;;Z#SBE_SH_SHIV#INTERFACE.CLASS#SBE_SH_SHIV;0;;;;;;SMALL;;;;0;;;|Weight 349|;1,476E+12;U;3,5215E+15
SBE_SHAB_ACC;SBE. Текстовые шаблоны для Ф-0409407;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,29259E+12;;;;Z#SBE_SHAB_ACC#INTERFACE.CLASS#SBE_SHAB_ACC;0;;;;;;SMALL;;;;0;;;|Weight 1194|;1,476E+12;U;3,5215E+15
SBE_SHAB_ACC_ARR;"Массив ""SBE. Текстовые шаблоны для Ф-0409407""";TYPE;;0;;1E+23;;COLLECTION;SBE_SHAB_ACC;;;;;;;0;0;1,29259E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SHABL_REF;SBE. Ссылка на шаблон отчета;TYPE;;0;;1E+14;REFERENCE;REFERENCE;F_322_711_TUNING;2,6E+11;;;;;;0;0;1,26712E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SHIV_DEL_REF;"Ссылка на ""SBE. Справочник дел (для сшивов)""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_SHIV_DELO;;;;;;;0;0;1,26505E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SHIV_DELO;SBE. Справочник дел (для сшивов);TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32345E+12;;;;Z#SBE_SHIV_DELO#INTERFACE.CLASS#SBE_SHIV_DELO;0;;;;;;SMALL;;;;0;;;|Weight 22|;1,476E+12;U;3,5215E+15
SBE_SIMV_102;SBE. Символ дохода;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,24023E+12;;;;Z#SBE_SIMV_102#INTERFACE.CLASS#SBE_SIMV_102;0;;;;;;SMALL;;;;0;;;|Weight 33|;1,476E+12;U;3,5215E+15
SBE_SIMV_102_ARR;"SBE. Массив ""SBE. Символ дохода""";TYPE;;0;;1E+23;;COLLECTION;SBE_SIMV_102;;;;;;;0;0;1,24023E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SMS_AUTO_INF;SBE. SMS/E-mail автоинформирование;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,33241E+12;;;;Z#SBE_SMS_AUTO_INF#INTERFACE.CLASS#SBE_SMS_AUTO_INF;0;;;;;;SMALL;;;;0;;;|Weight 32449|;1,48447E+12;U;5,3452E+15
SBE_SMS_FIL_ARR;"Массив ""СМС-шаблоны по филиалам""";TYPE;;0;;1E+23;;COLLECTION;SBE_SMS_FIL_TMPL;;;;;;;0;0;1,37512E+12;;;;NUMBER;0;;;;;;;;;;0;;;;1,43413E+12;U;8,62E+13
SBE_SMS_FIL_TMPL;СМС-шаблоны по филиалам;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,37511E+12;;;;Z#SBE_SMS_FIL_TMPL#INTERFACE.CLASS#SBE_SMS_FIL_TMPL;0;;;;;;SMALL;;;;0;;;|Weight 12|;1,476E+12;U;3,5215E+15
SBE_SMS_INF;SBE. SMS/E-mail информирование;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,27964E+12;;;;Z#SBE_SMS_INF#INTERFACE.CLASS#SBE_SMS_INF;0;;;;;;SMALL;;;;0;;;|Weight 26033|;1,48447E+12;U;5,3452E+15
SBE_SOSZ_DATA;SBE. Сведения об остатках ссудной задолженности по срокам до погашения. Данные;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,24878E+12;;;;Z#SBE_SOSZ_DATA#INTERFACE.CLASS#SBE_SOSZ_DATA;0;;;;;;SMALL;;;;0;;;|Weight 23777|;1,476E+12;U;3,5215E+15
SBE_SOSZ_GROUP;SBE. Сведения об остатках ссудной задолженности по срокам до погашения. Группы отчетов;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,24877E+12;;;;Z#SBE_SOSZ_GROUP#INTERFACE.CLASS#SBE_SOSZ_GROUP;0;;;;;;SMALL;;;;0;;;|Weight 2|;1,476E+12;U;3,5215E+15
SBE_SOSZ_GRP_REF;"Ссылка на ""SBE. Сведения об остатках ссудной задолженности по срокам до погашения. Группы отчетов""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_SOSZ_GROUP;;;;;;;0;0;1,24894E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SOSZ_REP_FRM;SBE. Сведения об остатках ссудной задолженности по срокам до погашения. Отчетные формы;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,24878E+12;;;;Z#SBE_SOSZ_REP_FRM#INTERFACE.CLASS#SBE_SOSZ_REP_FRM;0;;;;;;SMALL;;;;0;;;|Weight 6|;1,476E+12;U;3,5215E+15
SBE_SOSZ_TUNE;SBE. Сведения об остатках ссудной задолженности по срокам до погашения. Настройка шаблона;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,25059E+12;;;;Z#SBE_SOSZ_TUNE#INTERFACE.CLASS#SBE_SOSZ_TUNE;0;;;;;;SMALL;;;;0;;;|Weight 108|;1,476E+12;U;3,5215E+15
SBE_SP_REC_GROUP;SBE. Справочник лимитов на группы формирования выписки по СПЭД;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,28472E+12;;;;Z#SBE_SP_REC_GROUP#INTERFACE.CLASS#SBE_SP_REC_GROUP;0;;;;;;SMALL;;;;0;;;|Weight 20|;1,476E+12;U;3,5215E+15
SBE_SP167REF_ARR;"УСБ. Массив ""Ссылка на ""Списки по форме 167""""";TYPE;;0;;1E+23;;COLLECTION;SBE_SPIS_167_REF;;;;;;;0;0;1,13363E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SPIS_167;УСБ. Списки по форме 167;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,11376E+12;;;;Z#SBE_SPIS_167#INTERFACE.CLASS#SBE_SPIS_167;0;;;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
SBE_SPIS_167_ARR;"УСБ. Массив ""! Списки по форме 167""";TYPE;;0;;1E+23;;COLLECTION;SBE_SPIS_167;;;;;;;0;0;1,11376E+12;;;;NUMBER;0;;ZENIN_167;;;;;;;;0;;;;-2,20899E+12;I;
SBE_SPIS_167_REF;"УСБ. Ссылка на ""Списки по форме 167""";TYPE;;1;;1E+14;REFERENCE;REFERENCE;SBE_SPIS_167;;;;;;;0;0;1,13363E+12;;;;NUMBER;0;;;;;;SMALL;;;;0;;;|Weight 17676156|;1,476E+12;U;3,5215E+15
SBE_SPOD_TURN;SBE. Временная таблица с оборотами СПОД;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32196E+12;;;;Z#SBE_SPOD_TURN#INTERFACE.CLASS#SBE_SPOD_TURN;0;;;;;;SMALL;;;;0;;;|Weight 106348|;1,476E+12;U;3,5215E+15
